what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259480221343
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259480221406
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259480235077
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259480236593
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259480236671
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259480246687
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259480249187
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1259480275281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480361593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480368140
executed,command,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.edit.text.java.create.getter.setter,1259480368171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259480413781
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1259480414734
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1259480421546
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1259480431749
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480477484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480482156
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480482484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480495437
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1259480500796
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1259480533890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480544702
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480788406
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480834156
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259480836656
