what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458068031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458069687
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458089859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458094781
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458095937
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458114656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458134234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458147687
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458149484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458154281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458155859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458157374
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458158874
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458172499
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458174421
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458175906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458177109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458246671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458250327
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458261984
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458264406
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1259458265906
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458267406
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1259458268484
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1259458272093
